,STATEFP,COUNTYFP,PRECINCT,G18USSRCRA_x,G18USSDHEI_x,G18USSOWRI_x,G18HALRARM_x,G18HALDSCH_x,G18HALITUT_x,G18HALOWRI_x,G18SOSDBOS_x,G18SOSICOA_x,G18SOSIJAE_x,G18SOSOWRI_x,G18ATGRSTE_x,G18ATGDTHO_x,G18ATGOWRI_x,G18AGRRGOE_x,G18AGRDDOT_x,G18AGROWRI_x,G18PSCRCHR_x,G18PSCDBRA_x,G18PSCOWRI_x,G18PSCRKRO_x,G18PSCDBUC_x,G18PSCOWR2_x,G18TAXRRAU_x,G18TAXDOVE_x,G18TAXOWRI_x,geometry,join_col,join_col_x,County,Precinct,G18USSRCRA_y,G18USSDHEI_y,G18USSOWRI_y,G18HALRARM_y,G18HALDSCH_y,G18HALITUT_y,G18HALOWRI_y,G18SOSDBOS_y,G18SOSICOA_y,G18SOSIJAE_y,G18SOSOWRI_y,G18ATGRSTE_y,G18ATGDTHO_y,G18ATGOWRI_y,G18AGRRGOE_y,G18AGRDDOT_y,G18AGROWRI_y,G18PSCRCHR_y,G18PSCDBRA_y,G18PSCOWRI_y,G18PSCRKRO_y,G18PSCDBUC_y,G18PSCOWR2_y,G18TAXRRAU_y,G18TAXDOVE_y,G18TAXOWRI_y,join_col_y,_merge
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,037-New Leipzig ,,037,New Leipzig ,92.0,23.0,0.0,99.0,14.0,5.0,0.0,22.0,8.0,83.0,0.0,103.0,14.0,0.0,103.0,13.0,0.0,96.0,21.0,0.0,98.0,19.0,0.0,95.0,22.0,0.0,037-New Leipzig ,right_only
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047-Precinct 01- American Legion ,,047,Precinct 01- American Legion ,196.0,57.0,2.0,211.0,38.0,6.0,0.0,51.0,32.0,166.0,0.0,219.0,37.0,0.0,216.0,33.0,1.0,200.0,46.0,0.0,195.0,51.0,1.0,189.0,64.0,1.0,047-Precinct 01- American Legion ,right_only
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047-Precinct 02-American Legion,,047,Precinct 02-American Legion,302.0,75.0,1.0,305.0,61.0,11.0,0.0,78.0,41.0,245.0,1.0,323.0,55.0,0.0,336.0,41.0,0.0,303.0,66.0,2.0,296.0,64.0,1.0,292.0,80.0,0.0,047-Precinct 02-American Legion,right_only
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047-Precinct 04 -Lehr Com Cent.,,047,Precinct 04 -Lehr Com Cent.,49.0,7.0,1.0,49.0,8.0,0.0,0.0,11.0,6.0,38.0,0.0,45.0,8.0,0.0,51.0,5.0,0.0,43.0,12.0,0.0,50.0,5.0,0.0,44.0,12.0,0.0,047-Precinct 04 -Lehr Com Cent.,right_only
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,065-Precinct 02-Center /West Side,,065,Precinct 02-Center /West Side,74.0,35.0,3.0,84.0,22.0,7.0,0.0,34.0,11.0,64.0,1.0,85.0,28.0,3.0,95.0,19.0,0.0,91.0,23.0,1.0,77.0,34.0,1.0,81.0,32.0,0.0,065-Precinct 02-Center /West Side,right_only
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 04- 1ST WARD 1ST,,069,Precinct 04- 1ST WARD 1ST,118.0,86.0,1.0,131.0,66.0,7.0,0.0,75.0,22.0,98.0,0.0,145.0,59.0,0.0,139.0,62.0,0.0,115.0,82.0,0.0,131.0,69.0,0.0,123.0,78.0,0.0,069-Precinct 04- 1ST WARD 1ST,right_only
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 05- 1ST WARD 2ND,,069,Precinct 05- 1ST WARD 2ND,42.0,45.0,1.0,54.0,33.0,1.0,0.0,42.0,5.0,39.0,0.0,61.0,25.0,0.0,65.0,20.0,0.0,51.0,36.0,0.0,53.0,29.0,0.0,53.0,35.0,0.0,069-Precinct 05- 1ST WARD 2ND,right_only
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 06 -2ND WARD,,069,Precinct 06 -2ND WARD,221.0,138.0,0.0,239.0,107.0,15.0,0.0,125.0,41.0,183.0,0.0,264.0,95.0,0.0,270.0,85.0,0.0,234.0,117.0,0.0,231.0,110.0,0.0,232.0,122.0,0.0,069-Precinct 06 -2ND WARD,right_only
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 07-3RD WARD,,069,Precinct 07-3RD WARD,157.0,111.0,2.0,183.0,86.0,8.0,0.0,94.0,34.0,139.0,1.0,209.0,64.0,0.0,212.0,62.0,0.0,173.0,95.0,0.0,167.0,96.0,0.0,187.0,85.0,0.0,069-Precinct 07-3RD WARD,right_only
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,079- Rolla #1,,079, Rolla #1,296.0,352.0,3.0,343.0,271.0,27.0,2.0,316.0,33.0,259.0,2.0,377.0,259.0,1.0,371.0,262.0,1.0,292.0,322.0,1.0,280.0,323.0,1.0,305.0,317.0,1.0,079- Rolla #1,right_only
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099-Precinct 2 -District 10,,099,Precinct 2 -District 10,728.0,678.0,7.0,835.0,530.0,48.0,0.0,411.0,165.0,761.0,4.0,999.0,394.0,2.0,1006.0,375.0,2.0,823.0,508.0,2.0,801.0,510.0,1.0,785.0,570.0,2.0,099-Precinct 2 -District 10,right_only
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101-Afton Our Redeemers ,,101,Afton Our Redeemers ,300.0,108.0,1.0,309.0,76.0,15.0,0.0,110.0,50.0,226.0,1.0,326.0,81.0,0.0,336.0,66.0,0.0,294.0,95.0,0.0,286.0,94.0,0.0,285.0,111.0,0.0,101-Afton Our Redeemers ,right_only
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101-North Central  ,,101,North Central  ,110.0,69.0,0.0,118.0,51.0,7.0,0.0,53.0,27.0,82.0,0.0,121.0,53.0,0.0,122.0,53.0,0.0,112.0,61.0,0.0,113.0,58.0,0.0,112.0,61.0,0.0,101-North Central  ,right_only
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101-Ruthville  ,,101,Ruthville  ,307.0,166.0,2.0,316.0,126.0,28.0,3.0,149.0,90.0,213.0,2.0,335.0,134.0,2.0,348.0,115.0,2.0,315.0,144.0,2.0,318.0,136.0,2.0,294.0,166.0,2.0,101-Ruthville  ,right_only
